time            mjd temp   rhum pres  wind_avg  wind_max wind_dir dewpoint
2008-12-14 18:02:00 78933242 -2.4     33        915.5    2.6      4.2   76  -16.46
2008-12-14 18:04:00 78933244 -2.3     33        915.6    2.8      4.6   75  -16.38
2008-12-14 18:06:00 78933246 -2.4     33        915.6    2.7      4.6   80  -16.46
2008-12-14 18:08:00 78933248 -2.4     33        915.6    2.7      5.2   75  -16.46
2008-12-14 18:10:00 78933250 -2.4     33        915.5    3.8      7.1   78  -16.46
2008-12-14 18:12:00 78933252 -2.3     33        915.6    3.3      6.4   76  -16.38
2008-12-14 18:14:00 78933254 -2.3     33        915.6    2.8      5.9   74  -16.38
2008-12-14 18:16:00 78933256 -2.3     33        915.5    3.5      8     74  -16.38
2008-12-14 18:18:00 78933258 -2.3     33        915.6    3.1      7.4   79  -16.38
2008-12-14 18:20:00 78933260 -2.3     33        915.7    2.8      5.9   74  -16.38
2008-12-14 18:22:00 78933262 -2.3     34        915.7    1.7      4     80  -16.02
2008-12-14 18:24:00 78933264 -2.4     34        915.7    2.6      4.1   76  -16.11
2008-12-14 18:26:00 78933266 -2.4     34        915.8    2.5      4     74  -16.11
2008-12-14 18:28:00 78933268 -2.3     33        915.8    2.7      3.7   75  -16.38
2008-12-14 18:30:00 78933270 -2.2     33        915.8    4.2      6.3   75  -16.29
2008-12-14 18:32:00 78933272 -2.1     33        915.9    2.9      5.6   77  -16.2
2008-12-14 18:34:00 78933274 -2.2     34        915.9    3.3      5.3   73  -15.93
2008-12-14 18:36:00 78933276 -2.2     34        915.9    3.3      4.9   75  -15.93
2008-12-14 18:38:00 78933278 -2.2     34        915.9    2.7      4.3   71  -15.93
2008-12-14 18:40:00 78933280 -2.2     34        915.9    4        5.6   73  -15.93
2008-12-14 18:42:00 78933282 -2.1     33        915.9    3.8      5.1   73  -16.2
2008-12-14 18:44:00 78933284 -2.1     33        915.9    3.6      5.4   73  -16.2
